[order_number],[tran],[crn],[shipped_on]
#205107400417-10791262164,164611628,738488461965,2017/07/05
#205107401417-10791325460,171608253,738488461976,2017/07/05
#205107402417-10791402644,170114949,738488461987,2017/07/05
#205107409417-10791902356,170214521,738488462001,2017/07/05
#205107389417-10789680212,170907717,738488462012,2017/07/05
#205107405417-10791629588,171806146,738488462023,2017/07/05
#205107407417-10791783252,170909894,738488462034,2017/07/05
#205107408417-10791901716,170911303,738488462045,2017/07/05
#205107410417-10792008596,170110247,738488462056,2017/07/05
#205107411417-10792071956,172111575,738488462067,2017/07/05
#205107413417-10792204564,163700864,738488462078,2017/07/05
#205107415417-10792611092,171607018,738488462089,2017/07/05
#205107416417-10793320596,171607922,738488462090,2017/07/05
#205107418417-10793931284,170212909,738488462104,2017/07/05
#205107425417-10795393172,164109259,738488462115,2017/07/05
#205107428417-10795768468,165204482,738488462126,2017/07/05
#205107431417-10795967444,170211231,738488462137,2017/07/05
#205107432417-10796015188,171608271,738488462148,2017/07/05
#205107435417-10796525524,170214761,738488462159,2017/07/05
#205107436417-10796550676,172202648,738488462160,2017/07/05
#205107438417-10796677332,171606533,738488462170,2017/07/05
#205107439417-10796732052,171801298,738488462181,2017/07/05
#205107440417-10796761236,172112458,738488462192,2017/07/05
#205107441417-10797076820,171608814,738488462207,2017/07/05
#205107442417-10797077908,171608932,738488462218,2017/07/05
#205107443417-10797112468,170110365,738488462229,2017/07/05
#205107404417-10791568916,172111827,738488462230,2017/07/05
