order-id	order-item-id	quantity	ship-date	carrier-code	carrier-name	tracking-number	ship-method
112-1547960-4465815	62337293580458	1	2017-07-05	FedEx	""	738488462479	FedEx International Priority DirectDistribution
114-1480230-3273023	20744319062338	1	2017-07-05	FedEx	""	738488462480	FedEx International Priority DirectDistribution
113-2081397-9788204	00927220529802	1	2017-07-05	FedEx	""	738488462490	FedEx International Priority DirectDistribution
114-5887293-2146664	39618963886530	1	2017-07-05	FedEx	""	738488462505	FedEx International Priority DirectDistribution
113-5460115-4507456	52616525874122	1	2017-07-05	FedEx	""	738488462516	FedEx International Priority DirectDistribution
113-6048845-6747410	11362070157122	1	2017-07-05	FedEx	""	738488462527	FedEx International Priority DirectDistribution
113-5549680-0299458	20553272329954	1	2017-07-05	FedEx	""	738488462538	FedEx International Priority DirectDistribution
114-9750868-8251464	48096340131602	1	2017-07-05	FedEx	""	738488462549	FedEx International Priority DirectDistribution
112-2187782-3168241	33634485063874	1	2017-07-05	FedEx	""	738488462550	FedEx International Priority DirectDistribution
114-1607996-4556264	62471782535522	1	2017-07-05	FedEx	""	738488462560	FedEx International Priority DirectDistribution
112-4473704-9137008	47822082401242	1	2017-07-05	FedEx	""	738488462571	FedEx International Priority DirectDistribution
113-3335519-7836253	26202631970978	1	2017-07-05	FedEx	""	738488462582	FedEx International Priority DirectDistribution
111-2934868-1012229	21837037053202	1	2017-07-05	FedEx	""	738488462593	FedEx International Priority DirectDistribution
112-4331347-1668218	38332056459866	1	2017-07-05	FedEx	""	738488462608	FedEx International Priority DirectDistribution
114-5975543-2800262	01262482785330	1	2017-07-05	FedEx	""	738488462619	FedEx International Priority DirectDistribution
113-1434615-7295465	64454639269866	1	2017-07-05	FedEx	""	738488462620	FedEx International Priority DirectDistribution
111-4494171-1143420	54564772961922	1	2017-07-05	FedEx	""	738488462630	FedEx International Priority DirectDistribution
112-2434135-8871427	30171514826322	1	2017-07-05	FedEx	""	738488462641	FedEx International Priority DirectDistribution
114-1393348-6355416	56140944812186	1	2017-07-05	FedEx	""	738488462652	FedEx International Priority DirectDistribution
114-7563265-2184225	35160133743394	1	2017-07-05	FedEx	""	738488462663	FedEx International Priority DirectDistribution
112-7565569-8330663	66983794888538	1	2017-07-05	FedEx	""	738488462674	FedEx International Priority DirectDistribution
114-6188568-0041831	16461032793762	1	2017-07-05	FedEx	""	738488462685	FedEx International Priority DirectDistribution
113-3175199-4745801	00571628279210	1	2017-07-05	FedEx	""	738488462696	FedEx International Priority DirectDistribution
111-8568436-3969834	21170908184650	1	2017-07-05	FedEx	""	738488462700	FedEx International Priority DirectDistribution
111-1553071-3533068	21252412063986	1	2017-07-05	FedEx	""	738488462711	FedEx International Priority DirectDistribution
113-0000046-1513879	40551892577778	1	2017-07-05	FedEx	""	738488462722	FedEx International Priority DirectDistribution
114-8422066-8713849	45267422962634	1	2017-07-05	FedEx	""	738488462733	FedEx International Priority DirectDistribution
112-1156302-1456265	25843756373458	1	2017-07-05	FedEx	""	738488462744	FedEx International Priority DirectDistribution
111-5592535-6063420	38450466080434	1	2017-07-05	FedEx	""	738488462755	FedEx International Priority DirectDistribution
112-3521283-5701028	22560545664666	1	2017-07-05	FedEx	""	738488462766	FedEx International Priority DirectDistribution
112-9730988-4453851	60561069480906	1	2017-07-05	FedEx	""	738488462777	FedEx International Priority DirectDistribution
111-4201343-1247422	60477632683386	1	2017-07-05	FedEx	""	738488462788	FedEx International Priority DirectDistribution
113-6168501-3646607	58804905678634	1	2017-07-05	FedEx	""	738488462799	FedEx International Priority DirectDistribution
113-4558707-5410640	18711269079690	1	2017-07-05	FedEx	""	738488462803	FedEx International Priority DirectDistribution
114-8872691-1429045	42746335455826	1	2017-07-05	FedEx	""	738488462814	FedEx International Priority DirectDistribution
112-1298707-4131403	61598579870642	1	2017-07-05	FedEx	""	738488462825	FedEx International Priority DirectDistribution
112-1767689-5461008	35224964804482	1	2017-07-05	FedEx	""	738488462836	FedEx International Priority DirectDistribution
111-7748964-2209007	05439480535146	1	2017-07-05	FedEx	""	738488462847	FedEx International Priority DirectDistribution
113-6774685-3355415	66088293644290	1	2017-07-05	FedEx	""	738488462858	FedEx International Priority DirectDistribution
112-3916371-4733007	68664729977202	1	2017-07-05	FedEx	""	738488462869	FedEx International Priority DirectDistribution
111-2633053-2257829	42167501739250	1	2017-07-05	FedEx	""	738488462870	FedEx International Priority DirectDistribution
112-8878277-2321011	33118268181874	1	2017-07-05	FedEx	""	738488462880	FedEx International Priority DirectDistribution
111-1129213-9665866	01483686413130	1	2017-07-05	FedEx	""	738488462891	FedEx International Priority DirectDistribution
114-0258133-4034633	62080214654834	1	2017-07-05	FedEx	""	738488462906	FedEx International Priority DirectDistribution
111-3417500-0643454	47612914354394	1	2017-07-05	FedEx	""	738488462917	FedEx International Priority DirectDistribution
114-6976675-1621016	67382634133498	1	2017-07-05	FedEx	""	738488462928	FedEx International Priority DirectDistribution
114-9992130-9841052	36277879140082	1	2017-07-05	FedEx	""	738488462939	FedEx International Priority DirectDistribution
112-5534727-2456262	51821345512586	1	2017-07-05	FedEx	""	738488462940	FedEx International Priority DirectDistribution
113-3187147-8585837	08572443444370	1	2017-07-05	FedEx	""	738488462950	FedEx International Priority DirectDistribution
112-6032157-8407404	08377551321778	1	2017-07-05	FedEx	""	738488462961	FedEx International Priority DirectDistribution
111-7653384-7163423	41972087521578	1	2017-07-05	FedEx	""	738488462972	FedEx International Priority DirectDistribution
113-8892198-1657845	32887010774306	1	2017-07-05	FedEx	""	738488462983	FedEx International Priority DirectDistribution
111-1581032-4561041	59709067157106	1	2017-07-05	FedEx	""	738488462994	FedEx International Priority DirectDistribution
112-5701350-7321810	55781112589410	1	2017-07-05	FedEx	""	738488463008	FedEx International Priority DirectDistribution
113-6123511-6910666	57446789264738	1	2017-07-05	FedEx	""	738488463019	FedEx International Priority DirectDistribution
111-0350808-2383461	17587162878306	1	2017-07-05	FedEx	""	738488463020	FedEx International Priority DirectDistribution
114-2080815-2852233	43990861865946	1	2017-07-05	FedEx	""	738488463030	FedEx International Priority DirectDistribution
111-7213266-6296220	35092370183674	1	2017-07-05	FedEx	""	738488463041	FedEx International Priority DirectDistribution
114-5771098-7385851	22210589444314	1	2017-07-05	FedEx	""	738488463052	FedEx International Priority DirectDistribution
112-2411480-3131405	00384883225570	1	2017-07-05	FedEx	""	738488463063	FedEx International Priority DirectDistribution
111-9758372-7220254	37999348989458	1	2017-07-05	FedEx	""	738488463074	FedEx International Priority DirectDistribution
113-8689968-5965817	42075132748650	1	2017-07-05	FedEx	""	738488463085	FedEx International Priority DirectDistribution
111-6269388-3096216	48196915344706	1	2017-07-05	FedEx	""	738488463096	FedEx International Priority DirectDistribution
114-0434012-7533023	59033621152986	1	2017-07-05	FedEx	""	738488463100	FedEx International Priority DirectDistribution
112-7224266-4840231	04434472891826	1	2017-07-05	FedEx	""	738488463111	FedEx International Priority DirectDistribution
114-4275216-9557041	68597325770626	1	2017-07-05	FedEx	""	738488463122	FedEx International Priority DirectDistribution
114-2455666-5489868	69559749036650	1	2017-07-05	FedEx	""	738488463133	FedEx International Priority DirectDistribution
113-7052565-8589847	29407473407354	1	2017-07-05	FedEx	""	738488463144	FedEx International Priority DirectDistribution
111-1208210-1683435	64821642898346	1	2017-07-05	FedEx	""	738488463155	FedEx International Priority DirectDistribution
113-2846126-9262613	62035703115786	1	2017-07-05	FedEx	""	738488463166	FedEx International Priority DirectDistribution
